time,data1,data2,valid
0.000002,168,188,1
0.000003,200,22,1
0.000004,101,138,1
0.000005,131,59,1
0.000007,194,69,1
0.000007,98,94,1
0.000008,245,213,1
0.000010,205,239,1
0.000011,109,61,1
0.000012,4,243,1
0.000014,169,93,1
0.000014,121,97,1
0.000015,96,68,1
0.000016,67,164,1
0.000017,147,87,1
0.000018,13,156,1
0.000019,147,201,1
0.000020,172,162,1
0.000022,189,15,1
0.000023,137,191,1
0.000023,163,246,1
0.000025,87,136,1
0.000026,204,231,1
0.000027,173,83,1
0.000027,116,169,1
0.000028,11,67,1
0.000128,201,54,1
0.000229,252,163,1
0.000230,73,156,1
0.000231,42,197,1
0.000232,69,137,1
0.000232,48,6,1
0.000234,149,108,1
0.000234,205,2,1
0.000236,129,172,1
0.000237,38,207,1
0.000238,113,2,1
0.000239,225,204,1
0.000240,196,197,1
0.000241,98,180,1
0.000242,35,137,1
0.000243,73,118,1
0.000244,53,40,1
0.000246,191,144,1
0.000247,127,208,1
0.000248,122,62,1
0.000249,78,90,0
0.000250,118,77,0
0.000251,130,240,0
0.000252,161,119,0
0.000253,124,51,0
0.000255,231,142,0
0.000256,156,60,0
0.000257,190,161,1
0.000258,156,117,1
0.000260,247,21,1
0.000260,148,126,1
0.000262,32,82,1
0.000263,208,133,1
0.000264,26,233,1
0.000266,27,221,1
0.000267,45,239,1
0.000269,130,121,1
0.000270,226,66,1
0.000270,16,133,1
0.000271,67,247,1
0.000272,169,153,1
0.000273,154,43,1
0.000275,55,29,1
0.000275,97,82,1
0.000276,23,17,1
0.000277,83,87,1
0.000278,17,220,1
0.000279,253,88,1
0.000280,139,54,1
0.000281,95,166,1
0.000283,223,97,1
0.000284,26,105,1
0.000384,247,40,1
0.000385,130,194,1
0.000386,132,44,1
0.000387,113,111,1
0.000488,120,35,1
0.000489,234,253,1
0.000490,202,18,1
0.000491,103,99,1
0.000492,183,208,1
0.000493,50,230,1
0.000494,108,192,1
0.000495,164,176,1
0.000496,237,120,1
0.000597,100,205,1
0.000697,54,55,1
0.000698,60,154,1
0.000798,202,120,1
0.000799,244,214,1
0.000801,173,217,1
0.000802,127,194,1
0.000803,216,11,1
0.000804,11,250,1
0.000805,207,167,1
0.000806,38,7,1
0.000807,199,42,1
0.000809,51,109,1
0.000810,234,116,1
0.000811,213,40,1
0.000812,127,1,1
0.000912,116,111,1
0.000913,124,57,1
0.000914,192,172,1
0.000915,113,215,1
0.000916,132,166,1
0.000917,54,1,1
0.000918,97,252,1
0.000920,24,212,1
0.001020,151,240,1
0.001021,235,249,1
0.001022,199,115,1
0.001023,112,173,1
